model_name	seed	aug_strategy	ratio	iteration	train_size	precision	recall	f1
FacebookAI/roberta-base	40	no_augmentation	0	1	3394	0.6140350877192983	0.4865616311399444	0.5429162357807652
FacebookAI/roberta-base	41	no_augmentation	0	1	3394	0.6830530401034929	0.4893419833178869	0.5701943844492441
FacebookAI/roberta-base	42	no_augmentation	0	1	3394	0.6521239954075775	0.5264133456904542	0.5825641025641026
FacebookAI/roberta-base	43	no_augmentation	0	1	3394	0.6158940397350994	0.5171455050973123	0.5622166246851384
FacebookAI/roberta-base	44	no_augmentation	0	1	3394	0.6678787878787878	0.5106580166821131	0.5787815126050421
FacebookAI/roberta-base	40	reverse_letter_case	0.1	1	3522	0.582591493570722	0.5458758109360519	0.5636363636363636
FacebookAI/roberta-base	41	reverse_letter_case	0.1	1	3522	0.6401816118047673	0.5227062094531975	0.5755102040816327
FacebookAI/roberta-base	42	reverse_letter_case	0.1	1	3522	0.6287292817679558	0.5273401297497683	0.5735887096774194
FacebookAI/roberta-base	43	reverse_letter_case	0.1	1	3522	0.6262403528114664	0.5264133456904542	0.5720040281973817
FacebookAI/roberta-base	44	reverse_letter_case	0.1	1	3522	0.6357541899441341	0.5273401297497683	0.5764944275582573
FacebookAI/roberta-base	40	delete_character	0.1	1	3522	0.6520190023752969	0.5088044485634847	0.5715773034877668
FacebookAI/roberta-base	41	delete_character	0.1	1	3522	0.6158730158730159	0.5393883225208527	0.575098814229249
FacebookAI/roberta-base	42	delete_character	0.1	1	3522	0.5828460038986355	0.5542168674698795	0.5681710213776723
FacebookAI/roberta-base	43	delete_character	0.1	1	3522	0.6199095022624435	0.5078776645041705	0.5583290881304126
FacebookAI/roberta-base	44	delete_character	0.1	1	3522	0.6498829039812647	0.5143651529193698	0.5742369374030005
FacebookAI/roberta-base	40	swap_characters	0.1	1	3494	0.6363636363636364	0.4995366079703429	0.5597092419522327
FacebookAI/roberta-base	41	swap_characters	0.1	1	3494	0.653179190751445	0.5236329935125116	0.581275720164609
FacebookAI/roberta-base	42	swap_characters	0.1	1	3494	0.6405375139977604	0.5301204819277109	0.5801217038539553
FacebookAI/roberta-base	43	swap_characters	0.1	1	3494	0.6134361233480177	0.5162187210379982	0.56064418721691
FacebookAI/roberta-base	44	swap_characters	0.1	1	3494	0.6422222222222222	0.535681186283596	0.584133400707428
FacebookAI/roberta-base	40	substitute_character	0.1	1	3520	0.6282608695652174	0.535681186283596	0.5782891445722862
FacebookAI/roberta-base	41	substitute_character	0.1	1	3520	0.6587677725118484	0.5152919369786839	0.5782631305252209
FacebookAI/roberta-base	42	substitute_character	0.1	1	3520	0.6258134490238612	0.5347544022242817	0.576711644177911
FacebookAI/roberta-base	43	substitute_character	0.1	1	3520	0.6291618828932262	0.5078776645041705	0.562051282051282
FacebookAI/roberta-base	44	substitute_character	0.1	1	3520	0.6532544378698225	0.5115848007414272	0.5738045738045738
FacebookAI/roberta-base	40	all	0.1	1	3876	0.6229327453142227	0.5236329935125116	0.5689828801611279
FacebookAI/roberta-base	41	all	0.1	1	3876	0.6488991888760139	0.5189990732159406	0.576725025746653
